group_representative,member,representative_artist,member_artist,hamming_distance,action,cross_artist
Albrecht_Du╠êrer_59.jpg,Albrecht_Dürer_59.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_59.jpg,Albrecht_Du╠êrer_59.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Vincent_van_Gogh_199.jpg,Vincent_van_Gogh_804.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,remove,False
Vincent_van_Gogh_199.jpg,Vincent_van_Gogh_199.jpg,Vincent_van_Gogh,Vincent_van_Gogh,0,keep,False
Albrecht_Du╠êrer_307.jpg,Albrecht_Dürer_307.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_307.jpg,Albrecht_Du╠êrer_307.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_191.jpg,Albrecht_Du╠êrer_93.jpg,Albrecht_Dürer,Albrecht_Dürer,10,remove,False
Albrecht_Du╠êrer_191.jpg,Albrecht_Dürer_93.jpg,Albrecht_Dürer,Albrecht_Dürer,10,remove,False
Albrecht_Du╠êrer_191.jpg,Albrecht_Dürer_191.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_191.jpg,Albrecht_Du╠êrer_191.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_28.jpg,Albrecht_Dürer_28.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_28.jpg,Albrecht_Du╠êrer_28.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Titian_236.jpg,Titian_235.jpg,Titian,Titian,8,remove,False
Titian_236.jpg,Titian_241.jpg,Titian,Titian,8,remove,False
Titian_236.jpg,Titian_236.jpg,Titian,Titian,0,keep,False
Albrecht_Du╠êrer_11.jpg,Albrecht_Dürer_11.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_11.jpg,Albrecht_Du╠êrer_11.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Albrecht_Du╠êrer_58.jpg,Albrecht_Dürer_58.jpg,Albrecht_Dürer,Albrecht_Dürer,0,remove,False
Albrecht_Du╠êrer_58.jpg,Albrecht_Du╠êrer_58.jpg,Albrecht_Dürer,Albrecht_Dürer,0,keep,False
Edgar_Degas_1.jpg,Edgar_Degas_3.jpg,Edgar_Degas,Edgar_Degas,2,remove,False
Edgar_Degas_1.jpg,Edgar_Degas_275.jpg,Edgar_Degas,Edgar_Degas,4,remove,False
Edgar_Degas_1.jpg,Edgar_Degas_1.jpg,Edgar_Degas,Edgar_Degas,0,keep,False
